Country_ID,zlene,COUNTRY
PKN,-1.68,PK
PKN,-0.21,PK
PKN,-2.12,PK
PKN,-0.93,PK
PKN,-2.96,PK
PKN,-0.16,PK
PKN,-1.94,PK
PKN,-3.89,PK
PKN,-0.4,PK
PKN,-0.34,PK
PKN,-3.29,PK
PKN,-1.88,PK
PKN,-1.31,PK
PKN,-0.15,PK
PKN,-0.19,PK
PKN,0.08,PK
PKN,-1.47,PK
PKN,-0.42,PK
PKN,-0.39,PK
PKN,-0.85,PK
PKN,-0.97,PK
PKN,-0.88,PK
PKN,-2.4,PK
PKN,-0.41,PK
PKN,-2.49,PK
PKN,-2.37,PK
PKN,-1.82,PK
PKN,-0.95,PK
PKN,-2.87,PK
PKN,-0.09,PK
PKN,-1.38,PK
PKN,-1.66,PK
PKN,-3.21,PK
PKN,0.55,PK
PKN,0.45,PK
PKN,0.37,PK
PKN,-3.06,PK
PKN,-2.58,PK
PKN,-2.02,PK
PKN,-1.36,PK
PKN,-2.81,PK
PKN,-1.23,PK
PKN,-1.25,PK
PKN,-0.27,PK
PKN,-0.62,PK
PKN,-0.19,PK
PKN,-2.18,PK
PKN,-2.25,PK
PKN,-2.43,PK
PKN,-2.6,PK
PKN,-1.18,PK
PKN,-1.75,PK
PKN,-1.23,PK
PKN,-1.4,PK
PKN,-1.2,PK
PKN,-0.19,PK
PKN,-1.27,PK
PKN,-2.1,PK
PKN,-1.09,PK
PKN,-0.22,PK
PKN,-1.41,PK
PKN,-1.64,PK
PKN,-0.22,PK
PKN,-1.84,PK
PKN,-1.38,PK
PKN,-2.6,PK
PKN,-2.35,PK
PKN,-3.14,PK
PKN,-2.23,PK
PKN,-2.41,PK
PKN,-2.71,PK
PKN,-2.4,PK
PKN,-1.55,PK
PKN,-2.77,PK
PKN,-2.34,PK
PKN,-2.08,PK
PKN,-2.17,PK
PKN,-2.08,PK
PKN,-2.09,PK
PKN,-2.68,PK
PKN,-2.18,PK
PKN,-2.37,PK
PKN,-2.43,PK
PKN,-1.91,PK
PKN,-1.68,PK
PKN,-2.44,PK
PKN,-2.77,PK
PKN,-0.97,PK
PKN,-2.7,PK
PKN,-1.73,PK
PKN,-1.6,PK
PKN,-2.64,PK
PKN,-2.33,PK
PKN,-2.08,PK
PKN,-2.17,PK
PKN,-1.57,PK
PKN,-2.08,PK
PKN,-2.25,PK
PKN,-2.18,PK
PKN,-2.53,PK
PKN,-2.55,PK
PKN,-2.15,PK
PKN,-1.92,PK
PKN,-2.25,PK
PKN,-2.52,PK
PKN,-1.94,PK
PKN,-1.06,PK
